,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Seats,Price,Mileage_int,Engine_int,Power_int,Car
0,Mumbai,2010,72000,CNG,Manual,First,5.0,1.75,26.6,998.0,58.16,Maruti WagonR
1,Pune,2015,41000,Diesel,Manual,First,5.0,12.5,19.67,1582.0,126.2,Hyundai Creta
2,Chennai,2011,46000,Petrol,Manual,First,5.0,4.5,18.2,1199.0,88.7,Honda Jazz
3,Chennai,2012,87000,Diesel,Manual,First,7.0,6.0,20.77,1248.0,88.76,Maruti Ertiga
4,Coimbatore,2013,40670,Diesel,Automatic,Second,5.0,17.74,15.2,1968.0,140.8,Audi A4
6,Jaipur,2013,86999,Diesel,Manual,First,5.0,3.5,23.08,1461.0,63.1,Nissan Micra
7,Mumbai,2016,36000,Diesel,Automatic,First,8.0,17.5,11.36,2755.0,171.5,Toyota Innova
8,Pune,2013,64430,Diesel,Manual,First,5.0,5.2,20.54,1598.0,103.6,Volkswagen Vento
9,Chennai,2012,65932,Diesel,Manual,Second,5.0,1.95,22.3,1248.0,74.0,Tata Indica
10,Kochi,2018,25692,Petrol,Manual,First,5.0,9.95,21.56,1462.0,103.25,Maruti Ciaz
11,Kolkata,2012,60000,Petrol,Automatic,First,5.0,4.49,16.8,1497.0,116.3,Honda City
12,Jaipur,2015,64424,Diesel,Manual,First,5.0,5.6,25.2,1248.0,74.0,Maruti Swift
13,Delhi,2014,72000,Diesel,Automatic,First,5.0,27.0,12.7,2179.0,187.7,Land Rover Range Rover
16,Kochi,2016,58950,Diesel,Manual,First,5.0,5.4,25.8,1498.0,98.6,Honda Amaze
17,Jaipur,2017,25000,Diesel,Manual,First,5.0,5.99,28.4,1248.0,74.0,Maruti Swift
18,Kochi,2014,77469,Diesel,Manual,First,5.0,6.34,20.45,1461.0,83.8,Renault Duster
19,Bangalore,2014,78500,Diesel,Automatic,First,5.0,28.0,14.84,2143.0,167.62,Mercedes-Benz New C-Class
20,Kochi,2014,32982,Diesel,Automatic,First,5.0,18.55,22.69,1995.0,190.0,BMW 3 Series
22,Mumbai,2015,55985,Petrol,Automatic,First,5.0,23.5,13.53,1984.0,177.01,Audi A6
23,Kolkata,2010,45807,Petrol,Manual,First,5.0,1.87,18.5,1197.0,80.0,Hyundai i20
24,Kolkata,2010,33000,Petrol,Automatic,First,5.0,2.85,14.4,1598.0,103.6,Volkswagen Vento
25,Mumbai,2012,51920,Petrol,Manual,First,5.0,4.25,16.8,1497.0,116.3,Honda City
26,Hyderabad,2012,54000,Diesel,Manual,First,5.0,4.25,23.08,1461.0,63.1,Nissan Micra
27,Hyderabad,2013,54000,Petrol,Manual,Second,5.0,2.75,20.92,998.0,67.1,Maruti Alto
30,Bangalore,2013,62000,Diesel,Manual,First,5.0,7.75,19.01,1461.0,108.45,Renault Duster
31,Delhi,2012,87615,Petrol,Manual,First,5.0,6.75,14.53,1798.0,138.1,Toyota Corolla
33,Kolkata,2010,35000,Diesel,Automatic,First,5.0,11.5,12.4,2698.0,179.5,Audi A6
34,Coimbatore,2014,55431,Petrol,Manual,Second,5.0,6.98,16.09,1598.0,103.5,Volkswagen Vento
35,Jaipur,2009,83816,Petrol,Manual,Second,5.0,1.85,14.0,1061.0,64.0,Maruti WagonR
36,Kochi,2018,50075,Diesel,Manual,First,5.0,8.63,24.3,1248.0,88.5,Maruti Vitara
38,Pune,2013,85000,Diesel,Automatic,First,5.0,28.0,11.74,2987.0,254.8,Mercedes-Benz M-Class
39,Chennai,2013,62000,Diesel,Manual,First,5.0,5.0,22.07,1199.0,73.9,Volkswagen Polo
40,Delhi,2008,90000,Petrol,Manual,Second,5.0,1.25,19.7,796.0,46.3,Maruti Alto
41,Kochi,2014,19698,Petrol,Manual,First,4.0,1.53,25.4,624.0,37.5,Tata Nano
43,Kochi,2014,35487,Petrol,Manual,First,5.0,4.74,18.5,1197.0,82.9,Hyundai i20
44,Bangalore,2014,46374,Petrol,Automatic,First,5.0,8.85,14.62,1999.0,149.92,Hyundai Elantra
45,Mumbai,2016,52001,Petrol,Automatic,First,5.0,10.11,14.28,1798.0,138.03,Toyota Corolla
46,Ahmedabad,2008,58005,Diesel,Manual,Second,5.0,4.25,14.9,1991.0,112.2,Hyundai Elantra
47,Bangalore,2012,70704,Petrol,Manual,First,7.0,10.95,11.25,2694.0,163.7,Toyota Innova
